Tỉnh,"Phường, xã mới","Phường, xã trước sáp nhập"
Cần Thơ,Thạnh Phú,Không sáp nhập
Cần Thơ,Thạnh Quới,"Xã Thạnh Tiến, Xã Thạnh An, Xã Thạnh Quới"
Cần Thơ,Thạnh Thới An,"Xã Thạnh Thới Thuận, Xã Thạnh Thới An"
Cần Thơ,Thạnh Xuân,"Thị trấn Rạch Gòi, Xã Tân Phú Thạnh, Xã Thạnh Xuân"
Cần Thơ,Thốt Nốt,"Phường Thuận An (quận Thốt Nốt), Phường Thới Thuận, Phường Thốt Nốt (phần còn lại sau khi sáp nhập vào phường Thuận Hưng)"
Cần Thơ,Thới An Đông,"Phường Trà An, Phường Trà Nóc, Phường Thới An Đông"
Cần Thơ,Thới An Hội,"Xã An Lạc Tây, Xã Thới An Hội"
Cần Thơ,Thới Hưng,Không sáp nhập
Cần Thơ,Thới Lai,"Thị trấn Thới Lai, Xã Thới Tân, Xã Trường Thắng"
Cần Thơ,Thới Long,"Phường Long Hưng, Phường Tân Hưng, Phường Thới Long"
Cần Thơ,Thuận Hòa,"Xã Thuận Hòa (huyện Châu Thành), Xã Phú Tân"
Cần Thơ,Thuận Hưng,"Phường Trung Kiên, Phường Thuận Hưng, Phường Thốt Nốt"
Cần Thơ,Trần Đề,"Thị trấn Trần Đề, Xã Đại Ân 2, Xã Trung Bình"
Cần Thơ,Trung Hưng,"Xã Trung Thạnh, Xã Trung Hưng"
Cần Thơ,Trung Nhứt,"Phường Thạnh Hòa, Phường Trung Nhứt, Xã Trung An"
Cần Thơ,Trường Khánh,"Xã Hậu Thạnh, Xã Phú Hữu, Xã Trường Khánh"
Cần Thơ,Trường Long,Không sáp nhập
Cần Thơ,Trường Long Tây,"Xã Trường Long A, Xã Trường Long Tây"
Cần Thơ,Trường Thành,"Xã Tân Thạnh, Xã Định Môn, Xã Trường Thành"
Cần Thơ,Trường Xuân,"Xã Trường Xuân A, Xã Trường Xuân B, Xã Trường Xuân"
Cần Thơ,Vị Tân,"Phường IV, Phường V, Xã Vị Tân"
Cần Thơ,Vị Thanh,"Phường I, Phường III, Phường VII"
Cần Thơ,Vị Thanh 1,"Xã Vị Đông, Xã Vị Bình, Xã Vị Thanh"
Cần Thơ,Vị Thủy,"Thị trấn Nàng Mau, Xã Vị Thắng, Xã Vị Trung"
Cần Thơ,Vĩnh Châu,"Phường 1 (thị xã Vĩnh Châu), Phường 2 (thị xã Vĩnh Châu), Xã Lạc Hòa"
Cần Thơ,Vĩnh Hải,Không sáp nhập
Cần Thơ,Vĩnh Lợi,"Xã Châu Hưng, Xã Vĩnh Thành, Xã Vĩnh Lợi"
Cần Thơ,Vĩnh Phước,"Phường Vĩnh Phước, Xã Vĩnh Tân"
Cần Thơ,Vĩnh Thạnh,"Thị trấn Vĩnh Thạnh, Xã Thạnh Lộc, Xã Thạnh Mỹ"
Cần Thơ,Vĩnh Thuận Đông,"Xã Vĩnh Thuận Tây, Xã Vị Thủy, Xã Vĩnh Thuận Đông"
Cần Thơ,Vĩnh Trinh,"Xã Vĩnh Bình, Xã Vĩnh Trinh"
Cần Thơ,Vĩnh Tường,"Xã Vĩnh Trung, Xã Vĩnh Tường"
Cần Thơ,Vĩnh Viễn,"Thị trấn Vĩnh Viễn, Xã Vĩnh Viễn A"
Cần Thơ,Xà Phiên,"Xã Thuận Hòa (huyện Long Mỹ), Xã Thuận Hưng, Xã Xà Phiên"
Đà Nẵng,An Hải,"Phường Phước Mỹ, Phường An Hải Bắc, Phường An Hải Nam"
Đà Nẵng,An Khê,"Phường Hòa An, Phường Hòa Phát, Phường An Khê"
Đà Nẵng,An Thắng,"Phường Điện An, Phường Điện Thắng Nam, Phường Điện Thắng Trung"
Đà Nẵng,Avương,"Xã Bhalêê, Xã Avương"
Đà Nẵng,Bà Nà,"Xã Hòa Ninh, Xã Hòa Nhơn"
Đà Nẵng,Bàn Thạch,"Phường Tân Thạnh, Phường Hòa Thuận, Xã Tam Thăng"
Đà Nẵng,Bến Giằng,"Xã Cà Dy, Xã Tà Bhing, Xã Tà Pơơ"
Đà Nẵng,Bến Hiên,"Xã Kà Dăng, Xã Mà Cooih"
Đà Nẵng,Cẩm Lệ,"Phường Hòa Thọ Tây, Phường Hòa Thọ Đông, Phường Khuê Trung"
Đà Nẵng,Chiên Đàn,"Thị trấn Phú Thịnh, Xã Tam Đàn, Xã Tam Thái"
Đà Nẵng,Duy Nghĩa,"Xã Duy Thành, Xã Duy Hải, Xã Duy Nghĩa"
Đà Nẵng,Duy Xuyên,"Xã Duy Trung, Xã Duy Sơn, Xã Duy Trinh"
Đà Nẵng,Đại Lộc,"Thị trấn Ái Nghĩa, Xã Đại Hiệp, Xã Đại Hòa, Xã Đại An, Xã Đại Nghĩa"
Đà Nẵng,Đắc Pring,"Xã Đắc Pre, Xã Đắc Pring"
Đà Nẵng,Điện Bàn,"Phường Điện Phương, Phường Điện Minh, Phường Vĩnh Điện"
Đà Nẵng,Điện Bàn Bắc,"Phường Điện Thắng Bắc, Xã Điện Hòa, Xã Điện Tiến"
Đà Nẵng,Điện Bàn Đông,"Phường Điện Nam Đông, Phường Điện Nam Trung, Phường Điện Dương, Phường Điện Ngọc, Phường Điện Nam Bắc"
Đà Nẵng,Điện Bàn Tây,"Xã Điện Hồng, Xã Điện Thọ, Xã Điện Phước"
Đà Nẵng,Đồng Dương,"Xã Bình Lãnh, Xã Bình Trị, Xã Bình Định"
Đà Nẵng,Đông Giang,"Thị trấn Prao, Xã Tà Lu, Xã A Rooi, Xã Zà Hung"
Đà Nẵng,Đức Phú,"Xã Tam Sơn, Xã Tam Thạnh"
Đà Nẵng,Gò Nổi,"Xã Điện Phong, Xã Điện Trung, Xã Điện Quang"
Đà Nẵng,Hà Nha,"Xã Đại Đồng, Xã Đại Hồng, Xã Đại Quang"
Đà Nẵng,Hải Châu,"Phường Thanh Bình, Phường Thuận Phước, Phường Thạch Thang, Phường Phước Ninh, Phường Hải Châu"
Đà Nẵng,Hải Vân,"Phường Hòa Hiệp Bắc, Phường Hòa Hiệp Nam, Xã Hòa Bắc, Xã Hòa Liên"
Đà Nẵng,Hiệp Đức,"Thị trấn Tân Bình, Xã Quế Tân, Xã Quế Lưu"
Đà Nẵng,Hòa Cường,"Phường Bình Thuận, Phường Hòa Thuận Tây, Phường Hòa Cường Bắc, Phường Hòa Cường Nam"
Đà Nẵng,Hòa Khánh,"Phường Hòa Khánh Nam, Phường Hòa Minh, Xã Hòa Sơn"
Đà Nẵng,Hòa Tiến,"Xã Hòa Khương, Xã Hòa Tiến"
Đà Nẵng,Hòa Vang,"Xã Hòa Phong, Xã Hòa Phú"
Đà Nẵng,Hòa Xuân,"Phường Hòa Xuân, Xã Hòa Châu, Xã Hòa Phước"
Đà Nẵng,Hoàng Sa,Huyện Hoàng Sa
Đà Nẵng,Hội An,"Phường Minh An, Phường Cẩm Phô, Phường Sơn Phong, Phường Cẩm Nam, Xã Cẩm Kim"
Đà Nẵng,Hội An Đông,"Phường Cẩm Châu, Phường Cửa Đại, Xã Cẩm Thanh"
Đà Nẵng,Hội An Tây,"Phường Thanh Hà, Phường Tân An, Phường Cẩm An, Xã Cẩm Hà"
Đà Nẵng,Hùng Sơn,"Xã Ch’ơm, Xã Gari, Xã Tr’hy, Xã Axan"
Đà Nẵng,Hương Trà,"Phường An Sơn, Phường Hòa Hương, Xã Tam Ngọc"
Đà Nẵng,Khâm Đức,"Thị trấn Khâm Đức, Xã Phước Xuân"
Đà Nẵng,La Dêê,"Xã Đắc Tôi, Xã La Dêê"
Đà Nẵng,La Êê,"Xã Chơ Chun, Xã La Êê"
Đà Nẵng,Lãnh Ngọc,"Xã Tiên Lãnh, Xã Tiên Ngọc, Xã Tiên Hiệp"
Đà Nẵng,Liên Chiểu,"Phường Hòa Khánh Bắc, Xã Hòa Liên (phần còn lại sau khi sáp nhập vào phường Hải Vân)"
Đà Nẵng,Nam Giang,"Xã Zuôih, Xã Chà Vàl"
Đà Nẵng,Nam Phước,"Thị trấn Nam Phước, Xã Duy Phước, Xã Duy Vinh"
Đà Nẵng,Nam Trà My,"Xã Trà Mai, Xã Trà Don"
Đà Nẵng,Ngũ Hành Sơn,"Phường Mỹ An, Phường Khuê Mỹ, Phường Hòa Hải, Phường Hòa Quý"
Đà Nẵng,Nông Sơn,"Thị trấn Trung Phước, Xã Quế Lộc"
Đà Nẵng,Núi Thành,"Thị trấn Núi Thành, Xã Tam Quang, Xã Tam Nghĩa, Xã Tam Hiệp, Xã Tam Giang"
Đà Nẵng,Phú Ninh,"Xã Tam Dân, Xã Tam Đại, Xã Tam Lãnh"
Đà Nẵng,Phú Thuận,"Xã Đại Tân, Xã Đại Thắng, Xã Đại Chánh, Xã Đại Thạnh"
Đà Nẵng,Phước Chánh,"Xã Phước Công, Xã Phước Chánh"
Đà Nẵng,Phước Hiệp,"Xã Phước Hòa, Xã Phước Hiệp"
Đà Nẵng,Phước Năng,"Xã Phước Đức, Xã Phước Mỹ, Xã Phước Năng"
Đà Nẵng,Phước Thành,"Xã Phước Lộc, Xã Phước Kim, Xã Phước Thành"
Đà Nẵng,Phước Trà,"Xã Sông Trà, Xã Phước Gia, Xã Phước Trà"
Đà Nẵng,Quảng Phú,"Phường An Phú, Xã Tam Thanh, Xã Tam Phú"
Đà Nẵng,Quế Phước,"Xã Quế Lâm, Xã Phước Ninh, Xã Ninh Phước"
Đà Nẵng,Quế Sơn,"Thị trấn Đông Phú, Xã Quế Minh, Xã Quế An, Xã Quế Long, Xã Quế Phong"
Đà Nẵng,Quế Sơn Trung,"Xã Quế Mỹ, Xã Quế Hiệp, Xã Quế Thuận, Xã Quế Châu"
Đà Nẵng,Sông Kôn,"Xã A Ting, Xã Jơ Ngây, Xã Sông Kôn"
Đà Nẵng,Sông Vàng,"Xã Tư, Xã Ba"
Đà Nẵng,Sơn Cẩm Hà,"Xã Tiên Sơn, Xã Tiên Hà, Xã Tiên Châu"
Đà Nẵng,Sơn Trà,"Phường Thọ Quang, Phường Nại Hiên Đông, Phường Mân Thái"
Đà Nẵng,Tam Anh,"Xã Tam Hòa, Xã Tam Anh Bắc, Xã Tam Anh Nam"
Đà Nẵng,Tam Hải,Không sáp nhập
Đà Nẵng,Tam Kỳ,"Phường An Mỹ, Phường An Xuân, Phường Trường Xuân"
Đà Nẵng,Tam Mỹ,"Xã Tam Mỹ Đông, Xã Tam Mỹ Tây, Xã Tam Trà"
Đà Nẵng,Tam Xuân,"Xã Tam Xuân I, Xã Tam Xuân II, Xã Tam Tiến"
Đà Nẵng,Tân Hiệp,Không sáp nhập
Đà Nẵng,Tây Giang,"Xã Atiêng, Xã Dang, Xã Anông, Xã Lăng"
Đà Nẵng,Tây Hồ,"Xã Tam An, Xã Tam Thành, Xã Tam Phước, Xã Tam Lộc"
Đà Nẵng,Thạnh Bình,"Xã Tiên Lập, Xã Tiên Lộc, Xã Tiên An, Xã Tiên Cảnh"
Đà Nẵng,Thanh Khê,"Phường Xuân Hà, Phường Chính Gián, Phường Thạc Gián, Phường Thanh Khê Tây, Phường Thanh Khê Đông"
Đà Nẵng,Thạnh Mỹ,Thị trấn Thạnh Mỹ
Đà Nẵng,Thăng An,"Xã Bình Triều, Xã Bình Giang, Xã Bình Đào, Xã Bình Minh, Xã Bình Dương"
Đà Nẵng,Thăng Bình,"Thị trấn Hà Lam, Xã Bình Nguyên, Xã Bình Quý, Xã Bình Phục"
Đà Nẵng,Thăng Điền,"Xã Bình An, Xã Bình Trung, Xã Bình Tú"
Đà Nẵng,Thăng Phú,"Xã Bình Phú, Xã Bình Quế"
Đà Nẵng,Thăng Trường,"Xã Bình Nam, Xã Bình Hải, Xã Bình Sa"
Đà Nẵng,Thu Bồn,"Xã Duy Châu, Xã Duy Hoà, Xã Duy Phú, Xã Duy Tân"
Đà Nẵng,Thượng Đức,"Xã Đại Lãnh, Xã Đại Hưng, Xã Đại Sơn"
Đà Nẵng,Tiên Phước,"Thị trấn Tiên Kỳ, Xã Tiên Mỹ, Xã Tiên Phong, Xã Tiên Thọ"
Đà Nẵng,Trà Đốc,"Xã Trà Bui, Xã Trà Đốc"
Đà Nẵng,Trà Giáp,"Xã Trà Ka, Xã Trà Giáp"
Đà Nẵng,Trà Leng,"Xã Trà Dơn, Xã Trà Leng"
Đà Nẵng,Trà Liên,"Xã Trà Đông, Xã Trà Nú, Xã Trà Kót"
Đà Nẵng,Trà Linh,"Xã Trà Nam, Xã Trà Linh"
Đà Nẵng,Trà My,"Thị trấn Trà My, Xã Trà Sơn, Xã Trà Giang, Xã Trà Dương"
Đà Nẵng,Trà Tân,"Xã Trà Giác, Xã Trà Tân"
Đà Nẵng,Trà Tập,"Xã Trà Cang, Xã Trà Tập"
Đà Nẵng,Trà Vân,"Xã Trà Vinh, Xã Trà Vân"
Đà Nẵng,Việt An,"Xã Thăng Phước, Xã Bình Sơn, Xã Quế Thọ, Xã Bình Lâm"
Đà Nẵng,Vu Gia,"Xã Đại Phong, Xã Đại Minh, Xã Đại Cường"
Đà Nẵng,Xuân Phú,"Thị trấn Hương An, Xã Quế Xuân 1, Xã Quế Xuân 2, Xã Quế Phú"
Đắk Lắk,Bình Kiến,"Xã An Phú, Xã Hòa Kiến, Xã Bình Kiến, Phường 9 (phần còn lại sau khi sáp nhập vào phường Tuy Hòa)"
Đắk Lắk,Buôn Đôn,Krông Na
Đắk Lắk,Buôn Hồ,"Phường Đạt Hiếu, Phường An Bình, Phường An Lạc, Phường Thiện An, Phường Thống Nhất, Phường Đoàn Kết"
Đắk Lắk,Buôn Ma Thuột,"Phường Thành Công, Phường Tân Tiến, Phường Tân Thành, Phường Tự An, Phường Tân Lợi, Xã Cư Êbur"
Đắk Lắk,Cuôr Đăng,"Xã Ea Drơng, Xã Cuôr Đăng"
Đắk Lắk,Cư Bao,"Phường Bình Tân, Xã Bình Thuận, Xã Cư Bao"
Đắk Lắk,Cư M’gar,"Xã Ea H’đing, Xã Ea Kpam, Xã Cư M’gar"
Đắk Lắk,Cư M’ta,"Xã Cư Króa, Xã Cư M’ta"
Đắk Lắk,Cư Pơng,"Xã Ea Sin, Xã Cư Pơng"
Đắk Lắk,Cư Prao,"Xã Ea Pil, Xã Cư Prao"
Đắk Lắk,Cư Pui,"Xã Hòa Phong (huyện Krông Bông), Xã Cư Pui"
Đắk Lắk,Cư Yang,"Xã Cư Bông, Xã Cư Yang"
Đắk Lắk,Dang Kang,"Xã Hòa Thành (huyện Krông Bông), Xã Cư Kty, Xã Dang Kang"
Đắk Lắk,Dliê Ya,"Xã Ea Tóh, Xã Ea Tân, Xã Dliê Ya"
Đắk Lắk,Dray Bhăng,"Xã Hòa Hiệp, Xã Dray Bhăng, Xã Ea Bhốk"
Đắk Lắk,Dur Kmăl,"Xã Băng A Drênh, Xã Dur Kmăl"
Đắk Lắk,Đắk Liêng,"Xã Buôn Tría, Xã Buôn Triết, Xã Đắk Liêng"
Đắk Lắk,Đắk Phơi,"Xã Đắk Nuê, Xã Đắk Phơi"
Đắk Lắk,Đông Hòa,"Phường Hòa Vinh, Phường Hòa Xuân Tây, Xã Hòa Tân Đông"
Đắk Lắk,Đồng Xuân,"Thị trấn La Hai, Xã Xuân Sơn Nam, Xã Xuân Sơn Bắc, Xã Xuân Long, Xã Xuân Quang 2"
Đắk Lắk,Đức Bình,"Xã Sơn Giang, Xã Đức Bình Đông, Xã Đức Bình Tây, Xã Ea Bia"
Đắk Lắk,Ea Bá,"Xã Ea Bá, Xã Ea Bar (huyện Sông Hinh) (phần còn lại sau khi sáp nhập vào xã Ea Ly)"
Đắk Lắk,Ea Bung,"Xã Ya Tờ Mốt, Xã Ea Bung"
Đắk Lắk,Ea Drăng,"Thị trấn Ea Drăng, Xã Ea Ral, Xã Dliê Yang"
Đắk Lắk,Ea Drông,"Xã Ea Siên, Xã Ea Drông"
Đắk Lắk,Ea H’Leo,Không sáp nhập
Đắk Lắk,Ea Hiao,"Xã Ea Sol, Xã Ea Hiao"
Đắk Lắk,Ea Kao,"Phường Ea Tam, Xã Ea Kao"
Đắk Lắk,Ea Kar,"Thị trấn Ea Kar, Xã Cư Huê, Xã Ea Đar, Xã Ea Kmút, Xã Cư Ni, Xã Xuân Phú"
Đắk Lắk,Ea Khăl,"Xã Ea Nam, Xã Ea Tir, Xã Ea Khăl"
Đắk Lắk,Ea Kiết,"Xã Ea Kuêh, Xã Ea Kiết"
Đắk Lắk,Ea Kly,"Xã Krông Búk, Xã Ea Kly"
Đắk Lắk,Ea Knốp,"Thị trấn Ea Knốp, Xã Ea Tih, Xã Ea Sô, Xã Ea Sar"
Đắk Lắk,Ea Knuếc,"Xã Hòa Đông, Xã Ea Kênh, Xã Ea Knuếc"
Đắk Lắk,Ea Ktur,"Xã Ea Tiêu, Xã Ea Ktur, Xã Ea Bhốk (phần còn lại sau khi sáp nhập vào xã Dray Bhăng)"
Đắk Lắk,Ea Ly,"Xã Ea Lâm, Xã Ea Ly, Xã Ea Bar (huyện Sông Hinh)"
Đắk Lắk,Ea M’Droh,"Xã Quảng Hiệp, Xã Ea M’nang, Xã Ea M’Droh"
Đắk Lắk,Ea Na,"Xã Ea Bông, Xã Dray Sáp, Xã Ea Na"
Đắk Lắk,Ea Ning,"Xã Cư Êwi, Xã Ea Hu, Xã Ea Ning"
Đắk Lắk,Ea Nuôl,"Xã Ea Bar (huyện Buôn Đôn), Xã Cuôr Knia, Xã Ea Nuôl"
Đắk Lắk,Ea Ô,"Xã Cư Elang, Xã Ea Ô"
Đắk Lắk,Ea Păl,"Xã Cư Prông, Xã Ea Păl"
Đắk Lắk,Ea Phê,"Xã Ea Kuăng, Xã Ea Hiu, Xã Ea Phê"
Đắk Lắk,Ea Riêng,"Xã Ea H’Mlay, Xã Ea M’Doal, Xã Ea Riêng"
Đắk Lắk,Ea Rốk,"Xã Ia Jlơi, Xã Cư Kbang, Xã Ea Rốk"
Đắk Lắk,Ea Súp,"Thị trấn Ea Súp, Xã Cư M’Lan, Xã Ea Lê"
Đắk Lắk,Ea Trang,Không sáp nhập
Đắk Lắk,Ea Tul,"Xã Ea Tar, Xã Cư Dliê Mnông, Xã Ea Tul"
Đắk Lắk,Ea Wer,"Xã Ea Huar, Xã Tân Hòa, Xã Ea Wer"
Đắk Lắk,Ea Wy,"Xã Cư A Mung, Xã Cư Mốt, Xã Ea Wy"
Đắk Lắk,Hòa Hiệp,"Phường Hòa Hiệp Trung, Phường Hòa Hiệp Nam, Phường Hòa Hiệp Bắc (phần còn lại sau khi sáp nhập vào phường Phú Yên)"
Đắk Lắk,Hòa Mỹ,"Xã Hòa Mỹ Đông, Xã Hòa Mỹ Tây"
Đắk Lắk,Hòa Phú,"Xã Hòa Phú (thành phố Buôn Ma Thuột), Xã Hòa Xuân, Xã Hòa Khánh"
Đắk Lắk,Hòa Sơn,"Xã Yang Reh, Xã Ea Trul, Xã Hòa Sơn"
Đắk Lắk,Hòa Thịnh,"Xã Hòa Đồng, Xã Hòa Thịnh"
Đắk Lắk,Hòa Xuân,"Xã Hòa Tâm, Xã Hòa Xuân Đông, Xã Hòa Xuân Nam"
Đắk Lắk,Ia Lốp,Không sáp nhập
Đắk Lắk,Ia Rvê,Không sáp nhập
Đắk Lắk,Krông Á,"Xã Cư San, Xã Krông Á"
Đắk Lắk,Krông Ana,"Thị trấn Buôn Trấp, Xã Bình Hòa, Xã Quảng Điền"
Đắk Lắk,Krông Bông,"Thị trấn Krông Kmar, Xã Hòa Lễ, Xã Khuê Ngọc Điền"
Đắk Lắk,Krông Búk,"Xã Cư Né, Xã Chứ Kbô"
Đắk Lắk,Krông Năng,"Thị trấn Krông Năng, Xã Phú Lộc, Xã Ea Hồ"
Đắk Lắk,Krông Nô,Không sáp nhập
Đắk Lắk,Krông Pắc,"Thị trấn Phước An, Xã Hòa An (huyện Krông Pắc), Xã Ea Yông, Xã Hòa Tiến"
Đắk Lắk,Liên Sơn Lắk,"Thị trấn Liên Sơn, Xã Yang Tao, Xã Bông Krang"
Đắk Lắk,M’Drắk,"Thị trấn M’Drắk, Xã Krông Jing, Xã Ea Lai"
Đắk Lắk,Nam Ka,"Xã Ea Rbin, Xã Nam Ka"
Đắk Lắk,Ô Loan,"Xã An Hiệp, Xã An Hòa Hải, Xã An Cư"
Đắk Lắk,Phú Hòa 1,"Thị trấn Phú Hòa, Xã Hòa Thắng (huyện Phú Hòa), Xã Hòa Định Đông, Xã Hòa Định Tây, Xã Hòa Hội, Xã Hòa An (huyện Phú Hòa)"
Đắk Lắk,Phú Hòa 2,"Xã Hòa Quang Nam, Xã Hòa Quang Bắc, Xã Hòa Trị"
Đắk Lắk,Phú Mỡ,"Xã Xuân Quang 1, Xã Phú Mỡ"
Đắk Lắk,Phú Xuân,"Xã Ea Púk, Xã Ea Dăh, Xã Phú Xuân"
Đắk Lắk,Phú Yên,"Phường Phú Đông, Phường Phú Lâm, Phường Phú Thạnh, Xã Hòa Thành (thị xã Đông Hòa), Phường Hòa Hiệp Bắc, Xã Hòa Bình 1 (phần còn lại sau khi sáp nhập vào xã Tây Hòa)"
Đắk Lắk,Pơng Drang,"Thị trấn Pơng Drang, Xã Ea Ngai, Xã Tân Lập"
Đắk Lắk,Quảng Phú,"Thị trấn Quảng Phú, Thị trấn Ea Pốk, Xã Cư Suê, Xã Quảng Tiến"
Đắk Lắk,Sông Cầu,"Phường Xuân Yên, Phường Xuân Phú, Xã Xuân Phương, Xã Xuân Thịnh"
Đắk Lắk,Sông Hinh,"Thị trấn Hai Riêng, Xã Ea Trol, Xã Sông Hinh, Xã Ea Bia (phần còn lại sau khi sáp nhập vào xã Đức Bình)"
Đắk Lắk,Sơn Hòa,"Thị trấn Củng Sơn, Xã Suối Bạc, Xã Sơn Hà, Xã Sơn Nguyên, Xã Sơn Phước"
Đắk Lắk,Sơn Thành,"Xã Hòa Phú (huyện Tây Hòa), Xã Sơn Thành Đông, Xã Sơn Thành Tây"
Đắk Lắk,Suối Trai,"Xã Ea Chà Rang, Xã Krông Pa, Xã Suối Trai"
Đắk Lắk,Tam Giang,"Xã Ea Tam, Xã Cư Klông, Xã Tam Giang"
